Date,Sector,ValueIndex,VolumeIndex,Year,Month,YearMonth
2025-04-01,Non-food stores,103.6,103.5,2025,Apr,2025-04
2025-04-01,Non-store retailing,105.3,105.9,2025,Apr,2025-04
2025-05-01,All retail incl. fuel,101.5,100.3,2025,May,2025-05
2025-05-01,Clothing & footwear,95.4,93.3,2025,May,2025-05
2025-05-01,Food stores,103.2,97.7,2025,May,2025-05
2025-05-01,Household goods,94.3,95.9,2025,May,2025-05
2025-05-01,Non-food stores,101.0,100.4,2025,May,2025-05
2025-05-01,Non-store retailing,105.3,105.9,2025,May,2025-05
2025-06-01,All retail incl. fuel,102.3,100.6,2025,Jun,2025-06
2025-06-01,Clothing & footwear,97.9,95.4,2025,Jun,2025-06
2025-06-01,Food stores,104.6,98.4,2025,Jun,2025-06
2025-06-01,Household goods,96.1,98.0,2025,Jun,2025-06
2025-06-01,Non-food stores,101.8,101.0,2025,Jun,2025-06
2025-06-01,Non-store retailing,105.7,105.9,2025,Jun,2025-06
2025-07-01,All retail incl. fuel,104.1,102.1,2025,Jul,2025-07
2025-07-01,Clothing & footwear,101.3,98.6,2025,Jul,2025-07
2025-07-01,Food stores,107.0,100.7,2025,Jul,2025-07
2025-07-01,Household goods,97.0,99.1,2025,Jul,2025-07
2025-07-01,Non-food stores,102.8,101.8,2025,Jul,2025-07
2025-07-01,Non-store retailing,108.2,108.0,2025,Jul,2025-07
2025-08-01,All retail incl. fuel,103.9,101.6,2025,Aug,2025-08
2025-08-01,Clothing & footwear,101.6,98.9,2025,Aug,2025-08
2025-08-01,Food stores,105.8,99.2,2025,Aug,2025-08
2025-08-01,Household goods,97.7,99.6,2025,Aug,2025-08
2025-08-01,Non-food stores,104.1,103.1,2025,Aug,2025-08
2025-08-01,Non-store retailing,109.8,109.7,2025,Aug,2025-08
2025-09-01,All retail incl. fuel,105.0,102.7,2025,Sep,2025-09
2025-09-01,Clothing & footwear,105.6,102.7,2025,Sep,2025-09
2025-09-01,Food stores,106.5,99.6,2025,Sep,2025-09
2025-09-01,Household goods,97.5,100.0,2025,Sep,2025-09
2025-09-01,Non-food stores,105.6,104.7,2025,Sep,2025-09
2025-09-01,Non-store retailing,110.7,111.3,2025,Sep,2025-09
2025-10-01,All retail incl. fuel,104.4,101.9,2025,Oct,2025-10
2025-10-01,Clothing & footwear,102.8,99.9,2025,Oct,2025-10
2025-10-01,Food stores,106.2,99.0,2025,Oct,2025-10
2025-10-01,Household goods,100.4,102.7,2025,Oct,2025-10
2025-10-01,Non-food stores,105.4,104.4,2025,Oct,2025-10
2025-10-01,Non-store retailing,108.2,108.3,2025,Oct,2025-10
2025-11-01,All retail incl. fuel,104.2,101.5,2025,Nov,2025-11
2025-11-01,Clothing & footwear,104.3,101.6,2025,Nov,2025-11
2025-11-01,Food stores,106.2,98.8,2025,Nov,2025-11
2025-11-01,Household goods,100.6,103.6,2025,Nov,2025-11
2025-11-01,Non-food stores,105.4,104.5,2025,Nov,2025-11
2025-11-01,Non-store retailing,105.0,104.6,2025,Nov,2025-11
2025-12-01,All retail incl. fuel,104.6,101.6,2025,Dec,2025-12
2025-12-01,Clothing & footwear,102.6,99.4,2025,Dec,2025-12
2025-12-01,Food stores,106.5,98.8,2025,Dec,2025-12
2025-12-01,Household goods,96.6,99.2,2025,Dec,2025-12
2025-12-01,Non-food stores,104.0,102.9,2025,Dec,2025-12
2025-12-01,Non-store retailing,110.1,109.5,2025,Dec,2025-12
2026-01-01,All retail incl. fuel,106.7,103.6,2026,Jan,2026-01
2026-01-01,Clothing & footwear,103.9,100.7,2026,Jan,2026-01
2026-01-01,Food stores,108.2,100.1,2026,Jan,2026-01
2026-01-01,Household goods,101.5,103.9,2026,Jan,2026-01
2026-01-01,Non-food stores,107.3,106.2,2026,Jan,2026-01
2026-01-01,Non-store retailing,111.7,111.2,2026,Jan,2026-01
2026-02-01,All retail incl. fuel,105.8,102.6,2026,Feb,2026-02
2026-02-01,Clothing & footwear,102.5,99.5,2026,Feb,2026-02
2026-02-01,Food stores,107.1,99.2,2026,Feb,2026-02
2026-02-01,Household goods,98.2,100.4,2026,Feb,2026-02
2026-02-01,Non-food stores,106.6,105.2,2026,Feb,2026-02
2026-02-01,Non-store retailing,111.0,110.3,2026,Feb,2026-02
2026-03-01,All retail incl. fuel,107.6,103.3,2026,Mar,2026-03
